,hyperlink
1096,https://github.com/1160300418/Vuls/tree/main/D-Link/DIR-605L/curTime_Vuls/01
1097,https://github.com/1160300418/Vuls/tree/main/D-Link/DIR-605L/curTime_Vuls/02
1098,https://github.com/1160300418/Vuls/tree/main/D-Link/DIR-605L/curTime_Vuls/03
1099,https://github.com/1160300418/Vuls/tree/main/D-Link/DIR-605L/curTime_Vuls/04
1100,https://github.com/1160300418/Vuls/tree/main/D-Link/DIR-605L/webpage_Vuls/01
1101,https://github.com/1160300418/Vuls/tree/main/D-Link/DIR-605L/webpage_Vuls/02
1102,https://github.com/1160300418/Vuls/tree/main/D-Link/DIR-605L/webpage_Vuls/03
1103,https://github.com/13223355/cve/blob/main/sql.md
1104,https://github.com/1337kid/Piggery_CMS_multiple_vulns_PoC/tree/main/CVE-2023-37628
1105,https://github.com/1337kid/Piggery_CMS_multiple_vulns_PoC/tree/main/CVE-2023-37629
1106,https://github.com/1337kid/Piggery_CMS_multiple_vulns_PoC/tree/main/CVE-2023-37630
1107,https://github.com/13aiZe1/cve/blob/main/sql.md
1108,https://github.com/1406213367/bug_report/blob/main/XSS-1.md
1109,https://github.com/1541284314/cve/blob/main/README.md
1110,https://github.com/1610349395/novel-plus-v3.6.2----Background-SQL-Injection-Vulnerability-/blob/main/novel-plus%20v3.6.2%20--%20Background%20SQL%20Injection%20Vulnerability.md
1111,https://github.com/1610349395/novel-plus-v3.6.2----SQL-Injection-Vulnerability-/blob/main/novel-plus%20v3.6.2%20--%20%20SQL%20Injection%20Vulnerability%20.md
1112,https://github.com/16yashpatel/CVE-2023-33565
1113,https://github.com/16yashpatel/CVE-2023-33566
1114,https://github.com/16yashpatel/CVE-2023-33567
1115,https://github.com/16yashpatel/CVE-2023-51197
1116,https://github.com/16yashpatel/CVE-2023-51198
1117,https://github.com/16yashpatel/CVE-2023-51199
1118,https://github.com/16yashpatel/CVE-2023-51200
1119,https://github.com/16yashpatel/CVE-2023-51201
1120,https://github.com/16yashpatel/CVE-2023-51202
1121,https://github.com/16yashpatel/CVE-2023-51204
1122,https://github.com/16yashpatel/CVE-2023-51208
1123,https://github.com/19FF/bug_report/blob/main/SQLi.md
1124,https://github.com/1dreamGN/CVE/blob/main/CVE-2023-42406.md
1125,https://github.com/1dreamGN/CVE/blob/main/ThinkAdmin%20directory%20traversal%2Bfile%20upload%20getshell.md
1126,https://github.com/1dreamGN/CVE/blob/main/ThinkAdmin%20Logical%20defect%20getshell.md
1127,https://github.com/1MurasaKi/bug_report/blob/main/vendors/razormist/Alphaware%20-%20Simple%20E-Commerce%20System/SQLi-1.md
